date,account_id,service,team,env,cost_usd
2025-01-01,111111111111,RDS,Core,prod,120.82
2025-01-01,333333333333,EC2,Web,staging,220.04
2025-01-01,333333333333,EC2,Web,prod,252.52
2025-01-01,111111111111,EC2,Core,prod,385.14
2025-01-01,333333333333,EC2,Web,prod,372.17
2025-01-01,333333333333,Lambda,Data,prod,40.02
2025-01-02,222222222222,EC2,Core,staging,201.0
2025-01-02,222222222222,RDS,Core,prod,127.15
2025-01-02,222222222222,EC2,Core,prod,394.45
2025-01-02,222222222222,RDS,Web,prod,145.95
2025-01-02,111111111111,EKS,Web,prod,137.16
2025-01-02,222222222222,EC2,Web,prod,452.12
2025-01-02,333333333333,Lambda,Data,prod,17.9
2025-01-02,333333333333,EC2,Core,staging,208.89
2025-01-02,222222222222,EC2,Core,staging,205.83
2025-01-02,222222222222,RDS,Data,prod,181.0
2025-01-03,111111111111,RDS,Data,prod,98.12
2025-01-03,222222222222,EC2,Web,prod,425.99
2025-01-03,333333333333,S3,Core,prod,71.0
2025-01-03,222222222222,Lambda,Core,staging,13.58
2025-01-03,111111111111,S3,Core,staging,51.78
2025-01-03,222222222222,RDS,Core,prod,101.89
2025-01-03,333333333333,RDS,Core,staging,63.5
2025-01-03,222222222222,EKS,Core,prod,186.65
2025-01-04,333333333333,Lambda,Web,prod,32.33
2025-01-04,333333333333,EKS,Web,prod,166.62
2025-01-04,111111111111,S3,Web,prod,48.3
2025-01-04,111111111111,EC2,Core,prod,346.67
2025-01-04,333333333333,EKS,Web,prod,150.95
2025-01-04,222222222222,Lambda,Data,prod,24.09
2025-01-04,333333333333,EC2,Web,staging,136.83
2025-01-05,222222222222,RDS,Core,prod,129.57
2025-01-05,111111111111,EKS,Core,dev,59.88
2025-01-05,333333333333,RDS,Web,staging,51.07
2025-01-05,333333333333,EC2,Web,prod,429.95
2025-01-05,333333333333,Lambda,Web,prod,3.18
2025-01-05,222222222222,S3,Web,dev,22.46
2025-01-05,333333333333,EC2,Web,prod,394.07
2025-01-05,111111111111,EC2,Data,dev,107.58
2025-01-05,222222222222,S3,Core,prod,90.04
2025-01-05,333333333333,EC2,Core,staging,198.41
2025-01-06,333333333333,S3,Core,staging,33.32
2025-01-06,333333333333,S3,Data,prod,59.98
2025-01-06,333333333333,EKS,Core,dev,39.47
2025-01-06,333333333333,S3,Web,prod,93.19
2025-01-06,333333333333,RDS,Data,dev,41.2
2025-01-06,222222222222,EC2,Core,prod,353.96
2025-01-07,111111111111,Lambda,Web,prod,-3.45
2025-01-07,111111111111,EC2,Core,staging,142.34
2025-01-07,111111111111,S3,Core,dev,19.15
2025-01-07,222222222222,EC2,Web,prod,367.7
2025-01-07,333333333333,EKS,Core,prod,141.65
2025-01-07,333333333333,Lambda,Web,prod,14.02
2025-01-07,222222222222,EKS,Core,prod,109.29
2025-01-07,333333333333,EKS,Data,prod,169.79
2025-01-08,333333333333,EC2,Web,staging,204.93
2025-01-08,333333333333,EC2,Core,prod,332.78
2025-01-08,222222222222,EC2,Core,prod,380.09
2025-01-08,333333333333,EKS,Core,prod,159.48
2025-01-08,222222222222,EKS,Core,dev,62.31
2025-01-08,111111111111,EKS,Web,prod,110.49
2025-01-08,333333333333,Lambda,Core,dev,19.03
2025-01-08,111111111111,S3,Data,prod,99.56
2025-01-08,111111111111,EKS,Core,prod,199.02
2025-01-09,222222222222,RDS,Data,prod,93.39
2025-01-09,333333333333,Lambda,Web,staging,-0.46
2025-01-09,111111111111,S3,Data,prod,90.93
2025-01-09,111111111111,Lambda,Web,prod,2.17
2025-01-09,333333333333,RDS,Core,prod,136.11
2025-01-09,222222222222,Lambda,Web,prod,68.28
2025-01-10,111111111111,S3,Core,prod,80.37
2025-01-10,333333333333,S3,Data,prod,39.5
2025-01-10,333333333333,S3,Web,prod,60.42
2025-01-10,333333333333,EC2,Data,staging,170.51
2025-01-10,333333333333,Lambda,Data,dev,11.95
2025-01-10,111111111111,RDS,Core,prod,106.96
2025-01-10,111111111111,RDS,Data,prod,65.87
2025-01-10,111111111111,EC2,Data,prod,390.92
2025-01-10,333333333333,EC2,Core,prod,395.68
2025-01-10,333333333333,RDS,Core,dev,22.03
2025-01-11,111111111111,RDS,Data,prod,85.24
2025-01-11,333333333333,RDS,Web,dev,48.59
2025-01-11,333333333333,Lambda,Core,staging,9.47
2025-01-11,333333333333,RDS,Web,prod,151.03
2025-01-11,111111111111,RDS,Core,dev,34.26
2025-01-11,333333333333,Lambda,Core,prod,22.02
2025-01-12,111111111111,RDS,Core,staging,43.37
2025-01-12,222222222222,Lambda,Data,prod,13.6
2025-01-12,111111111111,EC2,Web,prod,476.03
2025-01-12,222222222222,EC2,Core,prod,375.17
2025-01-12,111111111111,RDS,Core,staging,81.35
2025-01-12,333333333333,EKS,Web,prod,142.41
2025-01-12,111111111111,S3,Web,prod,100.86
2025-01-12,222222222222,Lambda,Web,prod,17.04
2025-01-12,111111111111,EC2,Data,prod,311.12
2025-01-12,111111111111,RDS,Core,staging,84.42
2025-01-13,222222222222,Lambda,Data,dev,18.04
2025-01-13,333333333333,S3,Core,staging,21.77
2025-01-13,111111111111,EKS,Core,prod,172.58
2025-01-13,222222222222,EKS,Web,staging,73.59
2025-01-13,111111111111,RDS,Core,staging,76.32
2025-01-13,111111111111,EKS,Core,staging,81.96
2025-01-14,111111111111,EKS,Data,prod,67.6
2025-01-14,111111111111,S3,Core,staging,21.82
2025-01-14,222222222222,RDS,Data,staging,44.15
2025-01-14,222222222222,RDS,Web,prod,136.87
2025-01-14,333333333333,Lambda,Data,dev,3.72
2025-01-14,111111111111,RDS,Core,prod,118.19
2025-01-14,222222222222,EC2,Core,prod,422.99
2025-01-15,333333333333,RDS,Data,prod,109.8
2025-01-15,333333333333,EC2,Data,dev,111.91
2025-01-15,111111111111,RDS,Core,staging,53.97
2025-01-15,111111111111,Lambda,Web,staging,14.78
2025-01-15,333333333333,S3,Data,prod,145.36
2025-01-15,333333333333,RDS,Web,prod,92.1
2025-01-15,111111111111,RDS,Web,prod,71.37
