date,project_id,service,team,env,cost_usd
2025-01-01,proj-beta,RDS,Web,prod,155.9
2025-01-01,proj-beta,RDS,Web,prod,146.84
2025-01-01,proj-alpha,Lambda,Data,prod,32.09
2025-01-01,proj-beta,S3,Web,dev,42.62
2025-01-01,proj-beta,EKS,Web,prod,239.43
2025-01-01,proj-gamma,S3,Web,prod,78.78
2025-01-02,proj-beta,RDS,Web,prod,150.67
2025-01-02,proj-alpha,RDS,Data,staging,70.14
2025-01-02,proj-beta,Lambda,Core,staging,10.13
2025-01-02,proj-gamma,S3,Web,prod,77.84
2025-01-02,proj-beta,EC2,Core,prod,481.17
2025-01-02,proj-alpha,EKS,Data,prod,145.18
2025-01-02,proj-alpha,RDS,Core,staging,81.68
2025-01-02,proj-gamma,Lambda,Data,staging,22.25
2025-01-02,proj-beta,EKS,Web,prod,171.75
2025-01-03,proj-alpha,S3,Core,dev,29.68
2025-01-03,proj-beta,EKS,Web,prod,153.43
2025-01-03,proj-beta,S3,Core,prod,86.69
2025-01-03,proj-alpha,RDS,Web,prod,126.38
2025-01-03,proj-alpha,EKS,Core,staging,119.58
2025-01-03,proj-alpha,EC2,Data,prod,296.77
2025-01-03,proj-alpha,EKS,Web,prod,153.03
2025-01-03,proj-beta,RDS,Core,dev,42.7
2025-01-03,proj-alpha,RDS,Data,prod,130.33
2025-01-03,proj-beta,Lambda,Data,prod,22.4
2025-01-04,proj-beta,RDS,Data,prod,63.18
2025-01-04,proj-gamma,EKS,Web,dev,37.65
2025-01-04,proj-alpha,RDS,Core,prod,132.25
2025-01-04,proj-gamma,RDS,Web,prod,52.94
2025-01-04,proj-gamma,EKS,Core,staging,66.03
2025-01-04,proj-gamma,S3,Core,prod,89.91
2025-01-05,proj-alpha,Lambda,Data,prod,26.32
2025-01-05,proj-gamma,EC2,Data,prod,468.6
2025-01-05,proj-gamma,EKS,Data,prod,64.64
2025-01-05,proj-alpha,RDS,Data,prod,69.17
2025-01-05,proj-alpha,RDS,Web,prod,114.84
2025-01-05,proj-gamma,RDS,Web,prod,98.89
2025-01-06,proj-gamma,Lambda,Data,staging,15.19
2025-01-06,proj-gamma,S3,Core,prod,60.59
2025-01-06,proj-alpha,S3,Core,prod,111.36
2025-01-06,proj-beta,S3,Core,staging,68.85
2025-01-06,proj-beta,RDS,Core,prod,95.38
2025-01-06,proj-beta,EC2,Core,staging,205.84
2025-01-06,proj-alpha,Lambda,Data,dev,10.22
2025-01-07,proj-alpha,EKS,Core,prod,141.6
2025-01-07,proj-alpha,EC2,Web,staging,229.17
2025-01-07,proj-beta,S3,Web,prod,67.58
2025-01-07,proj-alpha,EC2,Core,prod,335.56
2025-01-07,proj-gamma,RDS,Data,prod,109.48
2025-01-07,proj-beta,Lambda,Data,staging,17.1
2025-01-07,proj-beta,RDS,Data,prod,50.18
2025-01-07,proj-beta,RDS,Web,prod,111.31
2025-01-07,proj-gamma,Lambda,Data,prod,22.84
2025-01-07,proj-gamma,Lambda,Web,prod,11.14
2025-01-08,proj-beta,S3,Web,dev,22.95
2025-01-08,proj-beta,EKS,Core,prod,99.59
2025-01-08,proj-gamma,EKS,Data,prod,171.86
2025-01-08,proj-alpha,S3,Data,prod,73.0
2025-01-08,proj-beta,Lambda,Data,dev,7.75
2025-01-08,proj-gamma,S3,Data,dev,34.04
2025-01-08,proj-beta,RDS,Data,prod,34.79
2025-01-09,proj-beta,S3,Core,prod,48.56
2025-01-09,proj-gamma,RDS,Web,prod,117.63
2025-01-09,proj-beta,Lambda,Data,prod,14.23
2025-01-09,proj-alpha,EKS,Web,prod,180.91
2025-01-09,proj-gamma,S3,Web,dev,10.96
2025-01-09,proj-gamma,Lambda,Web,prod,23.17
2025-01-09,proj-beta,RDS,Core,staging,74.65
2025-01-09,proj-alpha,EKS,Core,prod,132.5
2025-01-10,proj-alpha,EC2,Data,prod,376.11
2025-01-10,proj-beta,RDS,Web,staging,43.94
2025-01-10,proj-alpha,RDS,Core,prod,117.52
2025-01-10,proj-beta,Lambda,Web,dev,-7.55
2025-01-10,proj-gamma,S3,Core,staging,56.42
2025-01-10,proj-alpha,S3,Data,prod,111.92
2025-01-10,proj-alpha,RDS,Core,prod,105.86
2025-01-10,proj-beta,S3,Web,prod,78.29
2025-01-10,proj-beta,EKS,Core,dev,41.37
2025-01-10,proj-beta,Lambda,Data,prod,45.84
2025-01-11,proj-gamma,RDS,Web,prod,68.91
2025-01-11,proj-alpha,RDS,Core,prod,142.82
2025-01-11,proj-alpha,RDS,Data,prod,142.04
2025-01-11,proj-gamma,EKS,Web,prod,181.96
2025-01-11,proj-beta,EC2,Core,prod,332.84
2025-01-11,proj-gamma,RDS,Web,dev,41.14
2025-01-11,proj-gamma,RDS,Data,prod,122.26
2025-01-11,proj-beta,EKS,Data,prod,120.11
2025-01-11,proj-gamma,EC2,Data,prod,374.78
2025-01-12,proj-gamma,RDS,Core,prod,97.41
2025-01-12,proj-beta,S3,Web,prod,87.1
2025-01-12,proj-gamma,RDS,Core,staging,87.47
2025-01-12,proj-beta,S3,Data,staging,52.19
2025-01-12,proj-beta,Lambda,Data,staging,-0.97
2025-01-12,proj-alpha,EC2,Data,staging,146.83
2025-01-12,proj-gamma,EC2,Data,prod,430.05
2025-01-13,proj-gamma,EKS,Web,prod,132.44
2025-01-13,proj-alpha,EC2,Web,prod,496.17
2025-01-13,proj-gamma,EC2,Web,prod,491.51
2025-01-13,proj-alpha,Lambda,Web,dev,-12.56
2025-01-13,proj-alpha,S3,Web,prod,78.43
2025-01-13,proj-alpha,RDS,Web,prod,76.83
2025-01-13,proj-alpha,EKS,Web,staging,96.24
2025-01-13,proj-alpha,EC2,Core,prod,483.24
2025-01-14,proj-gamma,EC2,Core,prod,382.81
2025-01-14,proj-beta,EC2,Web,prod,355.75
2025-01-14,proj-alpha,EC2,Data,prod,416.0
2025-01-14,proj-alpha,S3,Web,prod,93.08
2025-01-14,proj-gamma,EKS,Web,prod,189.59
2025-01-14,proj-beta,S3,Web,prod,67.84
2025-01-15,proj-gamma,S3,Core,prod,82.74
2025-01-15,proj-gamma,Lambda,Core,prod,29.47
2025-01-15,proj-beta,RDS,Web,prod,131.7
2025-01-15,proj-gamma,EKS,Data,staging,95.33
2025-01-15,proj-beta,EKS,Web,staging,67.81
2025-01-15,proj-beta,EKS,Data,prod,150.23
2025-01-15,proj-beta,EKS,Core,prod,179.17
2025-01-16,proj-gamma,RDS,Core,prod,71.57
2025-01-16,proj-gamma,Lambda,Data,prod,16.67
2025-01-16,proj-beta,S3,Data,dev,44.0
2025-01-16,proj-beta,RDS,Core,dev,42.38
2025-01-16,proj-beta,Lambda,Web,prod,10.52
2025-01-16,proj-gamma,Lambda,Data,prod,36.75
2025-01-17,proj-gamma,S3,Data,staging,51.17
2025-01-17,proj-gamma,RDS,Data,staging,59.23
2025-01-17,proj-alpha,RDS,Web,prod,135.0
2025-01-17,proj-beta,EC2,Web,prod,424.0
2025-01-17,proj-beta,Lambda,Web,prod,-2.26
2025-01-17,proj-gamma,Lambda,Web,prod,35.22
2025-01-17,proj-alpha,RDS,Web,dev,53.92
2025-01-18,proj-gamma,Lambda,Data,prod,44.28
2025-01-18,proj-alpha,S3,Core,prod,95.46
2025-01-18,proj-alpha,EKS,Web,prod,124.0
2025-01-18,proj-alpha,S3,Core,dev,21.93
2025-01-18,proj-alpha,EKS,Data,dev,30.89
2025-01-18,proj-alpha,Lambda,Data,prod,11.57
2025-01-18,proj-gamma,EC2,Data,staging,259.66
2025-01-18,proj-gamma,EC2,Core,prod,277.51
2025-01-19,proj-beta,S3,Web,prod,67.22
2025-01-19,proj-alpha,S3,Data,prod,80.64
2025-01-19,proj-gamma,RDS,Core,prod,118.36
2025-01-19,proj-alpha,EKS,Web,staging,111.66
2025-01-19,proj-alpha,EC2,Web,prod,398.85
2025-01-19,proj-gamma,EC2,Core,prod,392.66
2025-01-19,proj-alpha,EC2,Data,staging,215.01
2025-01-19,proj-gamma,Lambda,Core,prod,12.25
2025-01-19,proj-gamma,Lambda,Data,prod,44.07
2025-01-20,proj-gamma,EKS,Web,prod,119.56
2025-01-20,proj-gamma,Lambda,Core,staging,-8.68
2025-01-20,proj-beta,EKS,Web,prod,158.22
2025-01-20,proj-alpha,Lambda,Core,prod,2.54
2025-01-20,proj-gamma,RDS,Core,prod,138.68
2025-01-20,proj-alpha,EC2,Web,prod,394.28
2025-01-20,proj-alpha,S3,Data,dev,32.45
2025-01-21,proj-beta,RDS,Core,dev,41.3
2025-01-21,proj-alpha,RDS,Core,prod,78.44
2025-01-21,proj-alpha,Lambda,Web,prod,19.33
2025-01-21,proj-beta,Lambda,Core,prod,37.92
2025-01-21,proj-alpha,Lambda,Data,dev,6.35
2025-01-21,proj-beta,EC2,Core,prod,462.78
2025-01-21,proj-beta,S3,Data,dev,23.33
2025-01-21,proj-alpha,S3,Core,prod,65.69
2025-01-22,proj-gamma,EC2,Core,prod,458.45
2025-01-22,proj-gamma,Lambda,Web,staging,12.66
2025-01-22,proj-alpha,RDS,Core,dev,40.08
2025-01-22,proj-gamma,Lambda,Core,dev,12.15
2025-01-22,proj-beta,S3,Data,staging,45.3
2025-01-22,proj-alpha,EC2,Data,prod,374.2
2025-01-22,proj-gamma,RDS,Data,prod,141.57
2025-01-22,proj-alpha,EC2,Core,prod,466.58
2025-01-23,proj-gamma,Lambda,Data,staging,18.67
2025-01-23,proj-gamma,EC2,Web,prod,379.05
2025-01-23,proj-beta,EKS,Web,prod,155.95
2025-01-23,proj-gamma,EKS,Web,prod,122.48
2025-01-23,proj-beta,EC2,Web,dev,121.1
2025-01-23,proj-beta,RDS,Core,prod,131.47
2025-01-23,proj-alpha,S3,Core,prod,74.97
2025-01-24,proj-alpha,EKS,Web,staging,61.05
2025-01-24,proj-gamma,Lambda,Core,dev,0.14
2025-01-24,proj-alpha,S3,Core,prod,102.45
2025-01-24,proj-alpha,EKS,Core,prod,140.43
2025-01-24,proj-beta,RDS,Web,staging,93.31
2025-01-24,proj-alpha,RDS,Core,prod,90.45
2025-01-25,proj-gamma,EC2,Web,prod,490.75
2025-01-25,proj-beta,Lambda,Core,prod,28.07
2025-01-25,proj-gamma,RDS,Core,prod,145.65
2025-01-25,proj-beta,RDS,Web,prod,134.0
2025-01-25,proj-gamma,S3,Web,dev,17.14
2025-01-25,proj-beta,Lambda,Web,prod,5.99
2025-01-25,proj-beta,EKS,Web,dev,42.06
2025-01-25,proj-beta,RDS,Core,prod,105.15
2025-01-25,proj-alpha,Lambda,Core,prod,16.34
2025-01-26,proj-alpha,EC2,Data,staging,211.92
2025-01-26,proj-alpha,EC2,Core,staging,186.0
2025-01-26,proj-gamma,EKS,Core,prod,148.71
2025-01-26,proj-alpha,RDS,Data,prod,160.92
2025-01-26,proj-beta,EC2,Core,prod,371.69
2025-01-26,proj-gamma,EKS,Data,prod,192.91
2025-01-26,proj-beta,EKS,Data,prod,171.75
2025-01-26,proj-alpha,EKS,Core,staging,106.84
2025-01-26,proj-gamma,EC2,Web,prod,408.11
2025-01-26,proj-gamma,RDS,Core,dev,28.29
2025-01-27,proj-beta,Lambda,Core,staging,11.02
2025-01-27,proj-beta,Lambda,Data,staging,6.01
2025-01-27,proj-gamma,EC2,Core,prod,359.1
2025-01-27,proj-gamma,RDS,Web,prod,118.63
2025-01-27,proj-gamma,Lambda,Web,prod,-1.43
2025-01-27,proj-beta,EKS,Web,dev,30.88
2025-01-27,proj-alpha,S3,Core,prod,95.12
2025-01-27,proj-gamma,RDS,Core,dev,44.39
2025-01-28,proj-beta,RDS,Web,prod,104.22
2025-01-28,proj-gamma,RDS,Data,prod,166.5
2025-01-28,proj-beta,Lambda,Core,prod,4.61
2025-01-28,proj-gamma,RDS,Data,staging,67.4
2025-01-28,proj-beta,EKS,Core,prod,182.44
2025-01-28,proj-beta,EC2,Data,prod,389.1
2025-01-28,proj-gamma,S3,Data,prod,130.81
2025-01-28,proj-alpha,RDS,Web,prod,113.88
2025-01-28,proj-alpha,EKS,Core,prod,121.02
2025-01-28,proj-beta,RDS,Data,prod,76.83
2025-01-29,proj-alpha,Lambda,Web,prod,22.0
2025-01-29,proj-alpha,EC2,Core,staging,218.91
2025-01-29,proj-beta,Lambda,Data,prod,20.3
2025-01-29,proj-gamma,S3,Core,dev,32.01
2025-01-29,proj-beta,RDS,Core,staging,82.91
2025-01-29,proj-beta,Lambda,Web,prod,8.25
2025-01-29,proj-alpha,RDS,Core,prod,56.72
2025-01-30,proj-alpha,Lambda,Core,prod,17.9
2025-01-30,proj-beta,Lambda,Data,staging,19.02
2025-01-30,proj-gamma,EKS,Core,prod,133.48
2025-01-30,proj-beta,S3,Core,prod,86.01
2025-01-30,proj-beta,RDS,Data,dev,36.64
2025-01-30,proj-beta,EKS,Data,prod,162.31
2025-01-30,proj-alpha,RDS,Core,prod,139.31
2025-01-30,proj-alpha,Lambda,Core,prod,22.3
2025-01-30,proj-alpha,RDS,Web,staging,86.42
2025-01-31,proj-gamma,RDS,Core,prod,165.17
2025-01-31,proj-gamma,EC2,Web,staging,220.09
2025-01-31,proj-beta,EC2,Core,dev,127.92
2025-01-31,proj-alpha,Lambda,Web,dev,25.5
2025-01-31,proj-gamma,Lambda,Web,prod,22.69
2025-01-31,proj-gamma,EC2,Web,staging,171.53
2025-01-31,proj-gamma,EKS,Web,prod,210.42
2025-01-31,proj-beta,RDS,Data,prod,104.62
2025-01-31,proj-gamma,RDS,Core,prod,155.7
2025-01-31,proj-beta,S3,Data,prod,72.0
2025-02-01,proj-gamma,S3,Data,staging,34.54
2025-02-01,proj-beta,RDS,Core,prod,72.26
2025-02-01,proj-gamma,EC2,Data,staging,199.24
2025-02-01,proj-gamma,S3,Data,staging,28.94
2025-02-01,proj-alpha,Lambda,Core,dev,0.31
2025-02-01,proj-alpha,EKS,Web,prod,187.07
2025-02-02,proj-gamma,RDS,Data,prod,152.52
2025-02-02,proj-alpha,EC2,Data,prod,351.17
2025-02-02,proj-alpha,Lambda,Data,prod,13.1
2025-02-02,proj-alpha,S3,Data,prod,87.63
2025-02-02,proj-alpha,EKS,Data,staging,111.26
2025-02-02,proj-gamma,EKS,Web,prod,186.58
2025-02-02,proj-alpha,EKS,Core,staging,60.21
2025-02-03,proj-alpha,Lambda,Web,dev,3.09
2025-02-03,proj-beta,RDS,Core,prod,109.67
2025-02-03,proj-gamma,S3,Web,prod,83.07
2025-02-03,proj-beta,RDS,Web,prod,104.96
2025-02-03,proj-alpha,EC2,Core,staging,150.92
2025-02-03,proj-beta,EKS,Data,prod,220.91
2025-02-04,proj-beta,EKS,Web,prod,107.39
2025-02-04,proj-alpha,Lambda,Web,prod,0.91
2025-02-04,proj-alpha,Lambda,Web,prod,37.46
2025-02-04,proj-gamma,EKS,Data,prod,224.87
2025-02-04,proj-alpha,Lambda,Web,prod,29.77
2025-02-04,proj-alpha,S3,Data,prod,28.19
2025-02-04,proj-alpha,Lambda,Web,dev,19.24
2025-02-04,proj-gamma,Lambda,Data,prod,25.58
2025-02-04,proj-beta,RDS,Core,dev,45.08
2025-02-05,proj-gamma,S3,Data,prod,63.49
2025-02-05,proj-gamma,Lambda,Data,prod,35.28
2025-02-05,proj-beta,S3,Core,prod,88.46
2025-02-05,proj-beta,EKS,Core,dev,64.55
2025-02-05,proj-beta,RDS,Web,staging,83.11
2025-02-05,proj-alpha,RDS,Core,prod,139.6
2025-02-06,proj-gamma,S3,Core,prod,104.06
2025-02-06,proj-alpha,Lambda,Web,staging,26.44
2025-02-06,proj-alpha,EKS,Core,prod,214.81
2025-02-06,proj-beta,Lambda,Data,staging,21.94
2025-02-06,proj-gamma,S3,Data,prod,98.53
2025-02-06,proj-alpha,EC2,Data,dev,110.86
2025-02-06,proj-beta,RDS,Core,staging,54.36
2025-02-06,proj-beta,EC2,Data,staging,195.99
2025-02-06,proj-gamma,S3,Web,prod,79.72
2025-02-06,proj-alpha,Lambda,Data,prod,45.65
2025-02-07,proj-gamma,EC2,Web,staging,187.76
2025-02-07,proj-alpha,EKS,Core,dev,36.05
2025-02-07,proj-gamma,RDS,Core,staging,71.26
2025-02-07,proj-gamma,EC2,Web,prod,547.27
2025-02-07,proj-alpha,S3,Web,prod,96.22
2025-02-07,proj-alpha,S3,Data,prod,75.24
2025-02-07,proj-beta,S3,Web,prod,38.24
2025-02-07,proj-alpha,S3,Web,dev,6.87
2025-02-07,proj-gamma,S3,Core,prod,67.13
2025-02-07,proj-beta,Lambda,Web,prod,17.55
2025-02-08,proj-alpha,EKS,Web,prod,150.13
2025-02-08,proj-beta,Lambda,Core,prod,27.14
2025-02-08,proj-beta,Lambda,Web,dev,7.07
2025-02-08,proj-beta,S3,Data,staging,26.17
2025-02-08,proj-beta,EKS,Web,prod,187.06
2025-02-08,proj-beta,RDS,Core,prod,86.81
2025-02-08,proj-beta,EKS,Data,prod,138.94
2025-02-09,proj-alpha,S3,Data,dev,30.7
2025-02-09,proj-gamma,EC2,Data,staging,221.38
2025-02-09,proj-gamma,S3,Data,staging,64.1
2025-02-09,proj-beta,Lambda,Data,staging,32.57
2025-02-09,proj-alpha,RDS,Data,prod,132.68
2025-02-09,proj-beta,EC2,Web,staging,174.08
2025-02-09,proj-beta,RDS,Data,prod,103.75
2025-02-09,proj-beta,EKS,Data,prod,118.43
2025-02-09,proj-alpha,RDS,Data,staging,65.1
2025-02-10,proj-gamma,EC2,Data,prod,252.7
2025-02-10,proj-alpha,Lambda,Core,prod,6.46
2025-02-10,proj-gamma,EC2,Web,prod,406.62
2025-02-10,proj-alpha,Lambda,Web,prod,41.68
2025-02-10,proj-gamma,EC2,Data,prod,449.18
2025-02-10,proj-gamma,RDS,Data,staging,71.94
2025-02-10,proj-gamma,EC2,Web,prod,438.17
2025-02-10,proj-alpha,RDS,Web,prod,139.37
2025-02-11,proj-gamma,EKS,Web,prod,135.94
2025-02-11,proj-alpha,RDS,Data,prod,167.15
2025-02-11,proj-gamma,S3,Core,prod,62.29
2025-02-11,proj-alpha,Lambda,Core,prod,4.16
2025-02-11,proj-beta,EC2,Core,prod,363.4
2025-02-11,proj-alpha,S3,Web,staging,29.61
2025-02-11,proj-alpha,EC2,Data,staging,218.81
